Date;Number of Hotspots;Price
2.6.2020;3727;
3.6.2020;3827;
4.6.2020;3930;
5.6.2020;3990;
6.6.2020;4013;
7.6.2020;4026;
8.6.2020;4070;
9.6.2020;4077;
10.6.2020;4117;
11.6.2020;4143;
12.6.2020;4162;
13.6.2020;4179;
14.6.2020;4183;
15.6.2020;4193;
16.6.2020;4214;
17.6.2020;4228;
18.6.2020;4241;
19.6.2020;4255;
20.6.2020;4269;
21.6.2020;4279;
22.6.2020;4291;
23.6.2020;4299;
24.6.2020;4306;
25.6.2020;4311;
26.6.2020;4313;
27.6.2020;4316;
28.6.2020;4321;
29.6.2020;4321;
30.6.2020;4326;
1.7.2020;4332;
2.7.2020;4334;
3.7.2020;4334;
4.7.2020;4345;
5.7.2020;4348;
6.7.2020;4351;
7.7.2020;4355;
8.7.2020;4360;
9.7.2020;4366;
10.7.2020;4371;
11.7.2020;4381;
12.7.2020;4381;
13.7.2020;4384;
14.7.2020;4384;
15.7.2020;4384;
16.7.2020;4384;
17.7.2020;4387;
18.7.2020;4396;
19.7.2020;4401;
20.7.2020;4406;
21.7.2020;4413;
22.7.2020;4430;
23.7.2020;4444;
24.7.2020;4444;
25.7.2020;4451;
26.7.2020;4454;
27.7.2020;4455;
28.7.2020;4460;
29.7.2020;4461;
30.7.2020;4464;
31.7.2020;4467;
1.8.2020;4469;
2.8.2020;4470;
3.8.2020;4472;
4.8.2020;4474;
5.8.2020;4485;
6.8.2020;4538;
7.8.2020;4673;
8.8.2020;4881;
9.8.2020;5052;
10.8.2020;5186;
11.8.2020;5499;
12.8.2020;5785;
13.8.2020;5909;
14.8.2020;6020;
15.8.2020;6122;
16.8.2020;6199;
17.8.2020;6349;
18.8.2020;6576;
19.8.2020;6709;
20.8.2020;6832;
21.8.2020;6889;
22.8.2020;6935;
23.8.2020;6974;
24.8.2020;7039;
25.8.2020;7143;
26.8.2020;7214;
27.8.2020;7293;
28.8.2020;7364;
29.8.2020;7435;
30.8.2020;7528;
31.8.2020;7567;
1.9.2020;7765;
2.9.2020;7889;
3.9.2020;7972;
4.9.2020;8031;
5.9.2020;8095;
6.9.2020;8142;
7.9.2020;8171;
8.9.2020;8199;
9.9.2020;8254;
10.9.2020;8298;
11.9.2020;8367;
12.9.2020;8389;
13.9.2020;8409;
14.9.2020;8435;
15.9.2020;8484;
16.9.2020;8505;
17.9.2020;8524;
18.9.2020;8544;
19.9.2020;8568;
20.9.2020;8584;
21.9.2020;8609;
22.9.2020;8658;
23.9.2020;8692;
24.9.2020;8742;
25.9.2020;8823;
26.9.2020;8896;
27.9.2020;8919;
28.9.2020;8954;
29.9.2020;9040;
30.9.2020;9125;
1.10.2020;9184;
2.10.2020;9251;
3.10.2020;9309;
4.10.2020;9356;
5.10.2020;9396;
6.10.2020;9486;
7.10.2020;9571;
8.10.2020;9642;
9.10.2020;9706;
10.10.2020;9770;
11.10.2020;9825;
12.10.2020;9883;
13.10.2020;9934;
14.10.2020;10016;
15.10.2020;10089;
16.10.2020;10139;
17.10.2020;10214;
18.10.2020;10279;
19.10.2020;10316;
20.10.2020;10427;
21.10.2020;10507;
22.10.2020;10548;
23.10.2020;10579;
24.10.2020;10609;
25.10.2020;10626;
26.10.2020;10659;
27.10.2020;10680;
28.10.2020;10757;
29.10.2020;10856;
30.10.2020;11039;
31.10.2020;11291;
1.11.2020;11392;
2.11.2020;11478;
3.11.2020;11699;
4.11.2020;11880;
5.11.2020;11959;
6.11.2020;12024;
7.11.2020;12057;
8.11.2020;12121;
9.11.2020;12156;
10.11.2020;12207;
11.11.2020;12243;
12.11.2020;12282;
13.11.2020;12344;
14.11.2020;12395;
15.11.2020;12419;
16.11.2020;12448;
17.11.2020;12473;
18.11.2020;12490;
19.11.2020;12547;
20.11.2020;12596;
21.11.2020;12718;
22.11.2020;12823;
23.11.2020;12876;
24.11.2020;12992;
25.11.2020;13100;
26.11.2020;13167;
27.11.2020;13217;
28.11.2020;13269;
29.11.2020;13333;
30.11.2020;13347;
1.12.2020;13348;
2.12.2020;13477;
3.12.2020;13503;
4.12.2020;13551;
5.12.2020;13585;
6.12.2020;13614;
7.12.2020;13640;
8.12.2020;13690;
9.12.2020;13720;
10.12.2020;13769;
11.12.2020;13812;
12.12.2020;13884;
13.12.2020;13904;
14.12.2020;13918;
15.12.2020;13925;
16.12.2020;13951;
17.12.2020;13973;
18.12.2020;14008;
19.12.2020;14088;
20.12.2020;14138;
21.12.2020;14190;
22.12.2020;14287;
23.12.2020;14392;
24.12.2020;14416;
25.12.2020;14425;
26.12.2020;14439;
27.12.2020;14450;
28.12.2020;14579;
29.12.2020;14671;
30.12.2020;14770;
31.12.2020;14820;
1.1.2021;14830;
2.1.2021;14842;
3.1.2021;14886;
4.1.2021;14905;
5.1.2021;14923;
6.1.2021;14938;
7.1.2021;14944;
8.1.2021;14956;
9.1.2021;14969;
10.1.2021;14975;
11.1.2021;14990;
12.1.2021;15001;
13.1.2021;15029;
14.1.2021;15116;
15.1.2021;15262;
16.1.2021;15485;
17.1.2021;15623;
18.1.2021;15629;
19.1.2021;15889;
20.1.2021;16074;
21.1.2021;16221;
22.1.2021;16497;
23.1.2021;16756;
24.1.2021;16886;
25.1.2021;16968;
26.1.2021;17148;
27.1.2021;17264;
28.1.2021;17308;
29.1.2021;17377;
30.1.2021;17466;
31.1.2021;17523;
1.2.2021;17568;
2.2.2021;17607;
3.2.2021;17674;
4.2.2021;17734;
5.2.2021;17799;
6.2.2021;17842;
7.2.2021;17916;
8.2.2021;17946;
9.2.2021;18018;
10.2.2021;18075;
11.2.2021;18122;
12.2.2021;18191;
13.2.2021;18214;
14.2.2021;18239;
15.2.2021;18258;
16.2.2021;18276;
17.2.2021;18307;
18.2.2021;18321;
19.2.2021;18338;
20.2.2021;18394;
21.2.2021;18417;
22.2.2021;18442;
23.2.2021;18471;
24.2.2021;18526;
25.2.2021;18587;
26.2.2021;18690;
27.2.2021;18795;
28.2.2021;18875;
1.3.2021;18923;
2.3.2021;19067;
3.3.2021;19139;
4.3.2021;19294;
5.3.2021;19577;
6.3.2021;19815;
7.3.2021;19970;
8.3.2021;20059;
9.3.2021;20404;
10.3.2021;20763;
11.3.2021;21131;
12.3.2021;21503;
13.3.2021;21863;
14.3.2021;22027;
15.3.2021;22166;
16.3.2021;22516;
17.3.2021;22839;
18.3.2021;23176;
19.3.2021;23284;
20.3.2021;23411;
21.3.2021;23498;
22.3.2021;23584;
23.3.2021;23732;
24.3.2021;23815;
25.3.2021;23972;
26.3.2021;24126;
27.3.2021;24218;
28.3.2021;24268;
29.3.2021;24319;
30.3.2021;24381;
31.3.2021;24444;
1.4.2021;24544;
2.4.2021;24784;
3.4.2021;25094;
4.4.2021;25268;
5.4.2021;25398;
6.4.2021;25524;
7.4.2021;25671;
8.4.2021;25860;
9.4.2021;26069;
10.4.2021;26195;
11.4.2021;26294;
12.4.2021;26396;
13.4.2021;26481;
14.4.2021;26662;
15.4.2021;26832;
16.4.2021;27016;
17.4.2021;27223;
18.4.2021;27310;
19.4.2021;27427;
20.4.2021;27576;
21.4.2021;27767;
22.4.2021;27991;
23.4.2021;28263;
24.4.2021;28502;
25.4.2021;28607;
26.4.2021;28684;
27.4.2021;28962;
28.4.2021;29444;
29.4.2021;29933;
30.4.2021;30323;
1.5.2021;30744;
2.5.2021;30863;
3.5.2021;31021;
4.5.2021;31504;
5.5.2021;32017;
6.5.2021;32649;
7.5.2021;33321;
8.5.2021;34001;
9.5.2021;34312;
10.5.2021;34526;
11.5.2021;35302;
12.5.2021;35935;
13.5.2021;36536;
14.5.2021;37020;
15.5.2021;37514;
16.5.2021;37714;
17.5.2021;37902;
18.5.2021;38449;
19.5.2021;38913;
20.5.2021;39756;
21.5.2021;40447;
22.5.2021;41019;
23.5.2021;41290;
24.5.2021;41516;
25.5.2021;42239;
26.5.2021;43215;
27.5.2021;44207;
28.5.2021;45118;
29.5.2021;45923;
30.5.2021;46412;
31.5.2021;46702;
1.6.2021;47104;
2.6.2021;48004;
3.6.2021;49165;
4.6.2021;50312;
