Date;Open*;High;Low;Close**;Volume;Market Cap
Jun 03, 2021;€ 12.78;€ 13.19;€ 12.35;€ 12.79;€15,198,196;€1,087,963,817
Jun 02, 2021;€ 12.47;€ 13.38;€ 12.04;€ 12.76;€16,296,120;€1,084,330,983
Jun 01, 2021;€ 13.29;€ 13.62;€ 12.33;€ 12.46;€13,341,581;€1,057,352,190
May 31, 2021;€ 12.87;€ 13.65;€ 12.33;€ 13.32;€20,326,892;€1,128,736,287
May 30, 2021;€ 13.29;€ 14.24;€ 12.07;€ 12.86;€30,235,683;€1,088,186,791
May 29, 2021;€ 16.07;€ 16.62;€ 12.40;€ 13.29;€56,665,156;€1,122,672,724
May 28, 2021;€ 14.78;€ 18.88;€ 12.32;€ 16.01;€128,495,904;€1,350,497,812
May 27, 2021;€ 12.74;€ 14.71;€ 11.41;€ 14.71;€28,619,271;€1,241,639,933
May 26, 2021;€ 11.45;€ 12.67;€ 11.43;€ 12.67;€16,484,001;€1,067,626,739
May 25, 2021;€ 11.08;€ 12.26;€ 10.29;€ 11.48;€14,806,858;€966,158,370
May 24, 2021;€ 9.30;€ 12.43;€ 9.30;€ 11.10;€27,626,549;€932,473,505
May 23, 2021;€ 9.92;€ 10.38;€ 6.91;€ 9.35;€15,762,226;€784,018,953
May 22, 2021;€ 11.47;€ 11.54;€ 9.63;€ 9.93;€18,547,119;€831,672,805
May 21, 2021;€ 10.93;€ 13.55;€ 9.91;€ 11.40;€36,254,014;€953,294,146
May 20, 2021;€ 10.13;€ 11.23;€ 8.71;€ 11.02;€17,973,091;€920,019,661
May 19, 2021;€ 13.63;€ 13.87;€ 6.81;€ 10.08;€31,086,065;€840,589,897
May 18, 2021;€ 11.80;€ 14.49;€ 11.71;€ 13.67;€30,106,122;€1,137,262,567
May 17, 2021;€ 11.68;€ 12.29;€ 10.37;€ 11.78;€10,970,483;€978,396,681
May 16, 2021;€ 11.88;€ 12.71;€ 11.01;€ 11.68;€7,744,328;€968,082,135
May 15, 2021;€ 12.82;€ 12.91;€ 11.83;€ 11.89;€8,538,911;€983,802,315
May 14, 2021;€ 12.44;€ 13.23;€ 12.12;€ 12.89;€11,163,679;€1,064,497,091
May 13, 2021;€ 11.99;€ 13.99;€ 11.52;€ 12.46;€17,315,902;€1,027,526,907
May 12, 2021;€ 14.02;€ 14.28;€ 12.01;€ 12.01;€10,193,041;€988,646,517
May 11, 2021;€ 13.32;€ 14.21;€ 13.00;€ 14.03;€11,206,765;€1,153,192,120
May 10, 2021;€ 13.80;€ 15.36;€ 12.88;€ 13.28;€25,348,866;€1,089,716,159
May 09, 2021;€ 14.15;€ 14.25;€ 13.37;€ 13.78;€12,403,612;€1,128,793,436
May 08, 2021;€ 14.42;€ 15.15;€ 14.15;€ 14.17;€11,909,703;€1,159,053,655
May 07, 2021;€ 14.42;€ 15.19;€ 13.96;€ 14.53;€12,213,011;€1,186,488,552
May 06, 2021;€ 15.23;€ 15.97;€ 14.38;€ 14.49;€17,476,942;€1,180,828,531
May 05, 2021;€ 13.91;€ 15.29;€ 13.77;€ 15.23;€17,588,618;€1,239,657,812
May 04, 2021;€ 15.14;€ 15.91;€ 13.67;€ 13.96;€19,280,189;€1,134,173,461
May 03, 2021;€ 15.33;€ 16.22;€ 15.01;€ 15.20;€17,202,328;€1,233,354,142
May 02, 2021;€ 14.19;€ 16.39;€ 13.73;€ 15.44;€33,364,057;€1,251,851,908
May 01, 2021;€ 14.13;€ 14.43;€ 13.59;€ 14.19;€10,270,205;€1,148,655,362
Apr 30, 2021;€ 13.59;€ 14.49;€ 13.39;€ 14.01;€12,612,229;€1,131,427,277
Apr 29, 2021;€ 14.18;€ 14.39;€ 13.14;€ 13.61;€13,612,072;€1,097,540,954
Apr 28, 2021;€ 14.72;€ 15.55;€ 14.03;€ 14.22;€24,909,640;€1,145,122,165
Apr 27, 2021;€ 12.48;€ 14.85;€ 12.45;€ 14.76;€26,840,040;€1,186,062,640
Apr 26, 2021;€ 11.14;€ 12.55;€ 11.01;€ 12.44;€16,867,548;€998,193,557
Apr 25, 2021;€ 10.61;€ 11.45;€ 10.41;€ 11.12;€9,663,026;€891,285,285
Apr 24, 2021;€ 11.75;€ 11.83;€ 10.34;€ 10.66;€13,758,243;€852,170,749
Apr 23, 2021;€ 10.07;€ 12.21;€ 9.24;€ 11.80;€35,326,408;€942,057,602
Apr 22, 2021;€ 10.44;€ 11.61;€ 9.78;€ 10.05;€22,486,703;€800,923,141
Apr 21, 2021;€ 10.85;€ 11.23;€ 9.77;€ 10.46;€18,516,371;€832,458,297
Apr 20, 2021;€ 10.63;€ 11.50;€ 9.45;€ 10.80;€23,769,771;€858,470,146
Apr 19, 2021;€ 13.47;€ 13.83;€ 10.51;€ 10.80;€25,334,401;€856,857,441
Apr 18, 2021;€ 13.00;€ 14.11;€ 7.67;€ 13.35;€49,837,769;€1,057,260,778
Apr 17, 2021;€ 12.38;€ 13.06;€ 12.19;€ 12.92;€11,697,278;€1,021,135,434
Apr 16, 2021;€ 12.81;€ 13.09;€ 11.66;€ 12.39;€16,257,476;€977,633,753
Apr 15, 2021;€ 12.79;€ 13.34;€ 12.31;€ 12.81;€14,495,435;€1,008,946,105
Apr 14, 2021;€ 13.45;€ 13.60;€ 11.46;€ 12.81;€20,440,692;€1,007,148,120
Apr 13, 2021;€ 13.63;€ 13.87;€ 13.05;€ 13.57;€13,724,797;€1,064,469,282
Apr 12, 2021;€ 14.35;€ 15.13;€ 13.45;€ 13.64;€15,193,745;€1,068,629,250
Apr 11, 2021;€ 14.44;€ 14.69;€ 13.50;€ 14.36;€25,407,694;€1,122,859,409
Apr 10, 2021;€ 13.60;€ 16.38;€ 12.95;€ 14.49;€51,806,116;€1,130,971,458
Apr 09, 2021;€ 14.14;€ 14.85;€ 13.61;€ 13.61;€16,746,698;€1,059,584,338
Apr 08, 2021;€ 14.01;€ 15.50;€ 13.91;€ 14.20;€24,970,592;€1,103,603,952
Apr 07, 2021;€ 15.57;€ 17.83;€ 13.96;€ 13.96;€57,024,003;€1,083,570,385
Apr 06, 2021;€ 13.17;€ 17.60;€ 12.72;€ 15.79;€89,982,151;€1,222,945,689
Apr 05, 2021;€ 14.17;€ 14.37;€ 13.01;€ 13.23;€20,390,030;€1,022,854,045
Apr 04, 2021;€ 12.99;€ 15.87;€ 12.74;€ 14.23;€46,834,760;€1,097,585,057
Apr 03, 2021;€ 11.51;€ 14.72;€ 11.42;€ 13.04;€58,674,168;€1,003,879,070
Apr 02, 2021;€ 11.11;€ 12.82;€ 10.76;€ 11.51;€61,755,662;€884,518,956
Apr 01, 2021;€ 8.95;€ 11.32;€ 8.79;€ 11.00;€36,389,799;€843,953,699
Mar 31, 2021;€ 8.57;€ 9.22;€ 7.75;€ 8.96;€16,330,803;€685,783,481
Mar 30, 2021;€ 8.74;€ 8.86;€ 8.43;€ 8.54;€9,395,201;€652,567,960
Mar 29, 2021;€ 8.66;€ 9.13;€ 8.36;€ 8.73;€15,777,837;€665,670,762
Mar 28, 2021;€ 8.98;€ 10.15;€ 8.36;€ 8.65;€29,495,377;€658,225,629
Mar 27, 2021;€ 7.02;€ 9.97;€ 6.82;€ 8.94;€41,062,820;€679,378,373
Mar 26, 2021;€ 6.03;€ 7.36;€ 6.03;€ 7.04;€13,832,623;€534,094,074
Mar 25, 2021;€ 5.98;€ 6.23;€ 5.58;€ 6.01;€9,428,289;€455,228,892
Mar 24, 2021;€ 6.79;€ 7.28;€ 5.79;€ 5.99;€11,311,667;€452,483,838
Mar 23, 2021;€ 7.41;€ 7.76;€ 6.65;€ 6.75;€13,348,774;€509,378,348
Mar 22, 2021;€ 8.06;€ 8.40;€ 7.39;€ 7.49;€16,314,230;€563,575,363
Mar 21, 2021;€ 6.99;€ 8.18;€ 6.92;€ 8.03;€14,779,910;€603,356,902
Mar 20, 2021;€ 7.49;€ 8.14;€ 6.97;€ 6.98;€16,699,500;€523,852,958
Mar 19, 2021;€ 6.30;€ 7.81;€ 6.02;€ 7.50;€26,656,157;€561,687,395
Mar 18, 2021;€ 6.35;€ 6.76;€ 5.89;€ 6.26;€9,445,824;€467,547,506
Mar 17, 2021;€ 5.94;€ 6.44;€ 5.60;€ 6.39;€14,057,727;€476,853,220
Mar 16, 2021;€ 5.41;€ 6.62;€ 5.41;€ 5.92;€7,198,201;€440,749,035
Mar 15, 2021;€ 5.43;€ 5.69;€ 5.08;€ 5.40;€13,762,924;€401,527,035
Mar 14, 2021;€ 5.83;€ 6.35;€ 5.46;€ 5.46;€17,210,336;€404,974,253
Mar 13, 2021;€ 4.99;€ 6.02;€ 4.74;€ 5.83;€16,795,968;€431,393,332
Mar 12, 2021;€ 5.30;€ 5.41;€ 4.87;€ 4.98;€15,620,818;€368,300,091
Mar 11, 2021;€ 5.47;€ 6.65;€ 5.32;€ 5.32;€49,113,301;€391,753,496
Mar 10, 2021;€ 4.02;€ 5.57;€ 3.73;€ 5.50;€24,326,127;€404,425,310
Mar 09, 2021;€ 3.85;€ 4.16;€ 3.80;€ 4.02;€2,585,326;€295,201,809
Mar 08, 2021;€ 3.60;€ 3.93;€ 3.56;€ 3.83;€5,939,286;€280,367,005
Mar 07, 2021;€ 3.41;€ 3.64;€ 3.40;€ 3.60;€3,789,275;€263,324,716
Mar 06, 2021;€ 3.36;€ 3.44;€ 3.27;€ 3.42;€1,074,873;€249,283,346
Mar 05, 2021;€ 3.53;€ 3.54;€ 3.26;€ 3.35;€4,528,202;€244,216,406
Mar 04, 2021;€ 3.47;€ 3.67;€ 3.37;€ 3.51;€4,524,116;€255,521,058
Mar 03, 2021;€ 3.35;€ 3.56;€ 3.31;€ 3.46;€2,598,378;€251,092,474
Mar 02, 2021;€ 3.48;€ 3.54;€ 3.24;€ 3.36;€994,620;€243,134,585
Mar 01, 2021;€ 3.45;€ 3.64;€ 3.34;€ 3.47;€1,388,779;€250,828,290
Feb 28, 2021;€ 3.20;€ 3.57;€ 3.03;€ 3.46;€2,918,503;€249,910,456
Feb 27, 2021;€ 3.27;€ 3.39;€ 3.13;€ 3.20;€2,384,393;€230,354,934
Feb 26, 2021;€ 3.01;€ 3.42;€ 2.81;€ 3.24;€6,270,330;€233,164,460
Feb 25, 2021;€ 2.99;€ 3.48;€ 2.98;€ 3.00;€6,181,957;€215,284,628
Feb 24, 2021;€ 2.68;€ 3.00;€ 2.53;€ 2.98;€4,603,059;€213,825,704
Feb 23, 2021;€ 2.99;€ 3.01;€ 2.06;€ 2.67;€2,816,113;€190,823,334
Feb 22, 2021;€ 3.47;€ 3.47;€ 2.46;€ 3.00;€4,867,901;€214,248,911
Feb 21, 2021;€ 3.39;€ 3.57;€ 3.31;€ 3.47;€3,396,027;€246,885,706
Feb 20, 2021;€ 3.76;€ 3.78;€ 3.20;€ 3.38;€131,865;€240,278,884
Feb 19, 2021;€ 3.48;€ 3.84;€ 3.34;€ 3.77;€1,512,915;€266,903,968
Feb 18, 2021;€ 3.40;€ 3.56;€ 3.27;€ 3.49;€5,705,859;€246,415,860
Feb 17, 2021;€ 3.42;€ 3.51;€ 3.16;€ 3.38;€5,235,691;€238,730,579
Feb 16, 2021;€ 3.23;€ 3.86;€ 3.12;€ 3.41;€1,449,640;€239,672,483
Feb 15, 2021;€ 3.79;€ 4.05;€ 3.07;€ 3.23;€884,004;€226,803,646
Feb 14, 2021;€ 3.62;€ 4.25;€ 3.43;€ 3.80;€8,871,872;€266,470,314
Feb 13, 2021;€ 3.79;€ 3.95;€ 3.40;€ 3.63;€3,918,808;€253,666,154
Feb 12, 2021;€ 3.36;€ 3.96;€ 3.18;€ 3.75;€792,633;€262,047,238
Feb 11, 2021;€ 3.04;€ 3.51;€ 2.95;€ 3.37;€2,310,607;€234,440,129
Feb 10, 2021;€ 3.25;€ 3.40;€ 2.86;€ 3.04;€2,236,970;€211,500,718
Feb 09, 2021;€ 3.08;€ 3.36;€ 2.97;€ 3.27;€1,312,917;€226,954,542
Feb 08, 2021;€ 2.82;€ 3.20;€ 2.67;€ 3.06;€1,269,224;€211,708,022
Feb 07, 2021;€ 3.03;€ 3.20;€ 2.61;€ 2.82;€1,246,416;€194,549,011
Feb 06, 2021;€ 2.61;€ 3.27;€ 2.32;€ 3.04;€903,396;€209,457,266
Feb 05, 2021;€ 2.34;€ 2.66;€ 2.32;€ 2.63;€3,799,944;€181,387,889
Feb 04, 2021;€ 2.19;€ 2.42;€ 2.06;€ 2.34;€5,087,250;€161,032,898
Feb 03, 2021;€ 1.96;€ 2.25;€ 1.94;€ 2.19;€2,939,641;€150,564,579
Feb 02, 2021;€ 1.96;€ 2.04;€ 1.90;€ 1.96;€1,590,727;€133,952,690
Feb 01, 2021;€ 1.87;€ 2.11;€ 1.80;€ 1.96;€3,411,070;€133,897,822
Jan 31, 2021;€ 1.92;€ 2.12;€ 1.84;€ 1.87;€3,238,335;€127,161,668
Jan 30, 2021;€ 1.89;€ 1.96;€ 1.79;€ 1.92;€859,517;€130,763,441
Jan 29, 2021;€ 1.99;€ 2.07;€ 1.71;€ 1.90;€4,456,292;€129,132,450
Jan 28, 2021;€ 1.71;€ 2.13;€ 1.67;€ 2.06;€7,143,175;€139,441,925
Jan 27, 2021;€ 1.67;€ 1.76;€ 1.51;€ 1.70;€3,105,463;€115,107,107
Jan 26, 2021;€ 1.73;€ 1.86;€ 1.55;€ 1.68;€4,868,557;€113,395,529
Jan 25, 2021;€ 1.45;€ 1.80;€ 1.45;€ 1.72;€6,892,608;€116,377,547
Jan 24, 2021;€ 1.49;€ 1.50;€ 1.37;€ 1.45;€437,536;€97,619,444
Jan 23, 2021;€ 1.33;€ 1.50;€ 1.32;€ 1.49;€857,989;€99,845,195
Jan 22, 2021;€ 1.21;€ 1.38;€ 1.15;€ 1.33;€2,018,035;€89,345,603
Jan 21, 2021;€ 1.45;€ 1.45;€ 1.21;€ 1.21;€2,016,871;€81,052,035
Jan 20, 2021;€ 1.50;€ 1.57;€ 1.33;€ 1.44;€2,239,428;€96,232,870
Jan 19, 2021;€ 1.42;€ 1.63;€ 1.39;€ 1.51;€2,862,082;€100,565,644
Jan 18, 2021;€ 1.42;€ 1.51;€ 1.35;€ 1.42;€2,462,510;€94,249,062
Jan 17, 2021;€ 1.27;€ 1.46;€ 1.16;€ 1.42;€4,121,213;€94,051,770
Jan 16, 2021;€ 1.28;€ 1.45;€ 1.23;€ 1.27;€2,648,821;€83,937,213
Jan 15, 2021;€ 1.18;€ 1.28;€ 1.15;€ 1.27;€2,116,589;€83,977,374
Jan 14, 2021;€ 1.16;€ 1.18;€ 1.10;€ 1.18;€866,700;€77,470,617
Jan 13, 2021;€ 1.07;€ 1.15;€ 1.04;€ 1.15;€847,900;€75,379,942
Jan 12, 2021;€ 1.04;€ 1.13;€ 1.03;€ 1.09;€373,357;€71,198,917
Jan 11, 2021;€ 1.19;€ 1.19;€ 0.97;€ 1.04;€1,425,042;€67,970,886
Jan 10, 2021;€ 1.26;€ 1.31;€ 1.09;€ 1.19;€1,991,540;€77,475,267
Jan 09, 2021;€ 1.17;€ 1.32;€ 1.15;€ 1.26;€1,764,268;€81,860,992
Jan 08, 2021;€ 1.13;€ 1.17;€ 1.05;€ 1.16;€1,110,193;€75,499,401
Jan 07, 2021;€ 1.22;€ 1.22;€ 1.11;€ 1.13;€706,479;€72,946,394
Jan 06, 2021;€ 1.20;€ 1.31;€ 1.10;€ 1.22;€1,871,588;€78,867,767
Jan 05, 2021;€ 1.10;€ 1.21;€ 1.08;€ 1.21;€1,110,158;€77,738,310
Jan 04, 2021;€ 1.07;€ 1.19;€ 1.05;€ 1.10;€358,874;€70,526,590
Jan 03, 2021;€ 1.06;€ 1.11;€ 1.02;€ 1.08;€974,091;€69,192,226
Jan 02, 2021;€ 1.12;€ 1.15;€ 1.05;€ 1.06;€698,194;€68,067,772
Jan 01, 2021;€ 1.06;€ 1.16;€ 1.05;€ 1.11;€293,840;€70,906,023
Dec 31, 2020;€ 1.03;€ 1.09;€ 1.01;€ 1.05;€373,337;€67,100,102
Dec 30, 2020;€ 1.04;€ 1.09;€ 1.01;€ 1.03;€552,231;€65,669,364
Dec 29, 2020;€ 1.17;€ 1.19;€ 1.01;€ 1.05;€738,595;€66,348,039
Dec 28, 2020;€ 1.10;€ 1.21;€ 1.09;€ 1.17;€961,278;€74,000,987
Dec 27, 2020;€ 1.18;€ 1.33;€ 1.06;€ 1.10;€1,834,623;€69,298,431
Dec 26, 2020;€ 1.04;€ 1.18;€ 1.03;€ 1.18;€975,347;€74,621,937
Dec 25, 2020;€ 1.13;€ 1.14;€ 1.03;€ 1.05;€415,877;€65,932,854
Dec 24, 2020;€ 1.01;€ 1.16;€ 0.99;€ 1.13;€810,912;€70,728,461
Dec 23, 2020;€ 1.28;€ 1.29;€ 0.92;€ 1.01;€1,225,837;€63,198,540
Dec 22, 2020;€ 1.16;€ 1.47;€ 1.15;€ 1.28;€2,573,586;€79,844,858
Dec 21, 2020;€ 1.17;€ 1.17;€ 1.10;€ 1.16;€512,276;€72,648,877
Dec 20, 2020;€ 1.18;€ 1.20;€ 1.13;€ 1.16;€521,178;€72,290,116
Dec 19, 2020;€ 1.19;€ 1.23;€ 1.14;€ 1.17;€152,583;€72,825,414
Dec 18, 2020;€ 1.05;€ 1.20;€ 1.03;€ 1.19;€135,068;€73,759,304
Dec 17, 2020;€ 1.07;€ 1.09;€ 1.03;€ 1.06;€627,843;€65,476,885
Dec 16, 2020;€ 1.07;€ 1.08;€ 1.01;€ 1.07;€270,558;€66,203,616
Dec 15, 2020;€ 1.03;€ 1.09;€ 1.03;€ 1.07;€344,920;€65,700,731
Dec 14, 2020;€ 1.03;€ 1.06;€ 1.01;€ 1.03;€56,391;€63,333,268
Dec 13, 2020;€ 0.98;€ 1.04;€ 0.96;€ 1.03;€75,442;€63,058,426
Dec 12, 2020;€ 0.96;€ 1.01;€ 0.96;€ 0.98;€356,284;€59,928,759
Dec 11, 2020;€ 1.03;€ 1.04;€ 0.96;€ 0.96;€344,044;€58,337,451
Dec 10, 2020;€ 1.13;€ 1.13;€ 1.03;€ 1.04;€360,714;€63,197,268
Dec 09, 2020;€ 1.08;€ 1.15;€ 1.06;€ 1.13;€475,602;€68,273,720
Dec 08, 2020;€ 1.17;€ 1.18;€ 1.07;€ 1.08;€349,564;€65,538,232
Dec 07, 2020;€ 1.24;€ 1.24;€ 1.14;€ 1.16;€370,671;€70,261,362
Dec 06, 2020;€ 1.29;€ 1.31;€ 1.22;€ 1.24;€789,127;€74,536,747
Dec 05, 2020;€ 1.27;€ 1.35;€ 1.24;€ 1.29;€150,445;€77,259,405
Dec 04, 2020;€ 1.23;€ 1.32;€ 1.22;€ 1.27;€810,461;€75,978,310
Dec 03, 2020;€ 1.19;€ 1.24;€ 1.17;€ 1.23;€711,841;€73,559,170
Dec 02, 2020;€ 1.12;€ 1.19;€ 1.09;€ 1.19;€69,268;€70,940,102
Dec 01, 2020;€ 1.19;€ 1.26;€ 1.12;€ 1.13;€197,378;€67,298,665
Nov 30, 2020;€ 1.17;€ 1.27;€ 1.14;€ 1.19;€876,431;€68,711,183
Nov 29, 2020;€ 1.14;€ 1.17;€ 1.11;€ 1.17;€291,546;€67,151,135
Nov 28, 2020;€ 1.09;€ 1.17;€ 1.08;€ 1.14;€527,670;€65,157,879
Nov 27, 2020;€ 1.15;€ 1.23;€ 1.07;€ 1.10;€255,534;€62,945,609
Nov 26, 2020;€ 1.26;€ 1.27;€ 0.94;€ 1.15;€131,301;€65,376,366
Nov 25, 2020;€ 1.37;€ 1.38;€ 1.23;€ 1.26;€980,404;€71,825,107
Nov 24, 2020;€ 1.50;€ 1.52;€ 1.33;€ 1.37;€1,320,442;€77,930,912
Nov 23, 2020;€ 1.39;€ 1.58;€ 1.37;€ 1.49;€1,021,081;€84,458,787
Nov 22, 2020;€ 1.52;€ 1.53;€ 1.29;€ 1.39;€991,225;€78,706,250
Nov 21, 2020;€ 1.44;€ 1.62;€ 1.41;€ 1.52;€350,812;€85,828,055
